,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,sub,ses,rec,run
996,3,1.103278781,1.092911536,0.715388958,1.345499156,0.033135218,18,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
997,4,1.443341845,1.461113433,1.198399022,1.732477773,0.01734809,19,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
998,5,2.111330868,2.110739091,1.819456734,2.615276733,0.023563254,21,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
999,6,2.338360055,2.294908575,2.132803273,2.618390189,0.018045388,17,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
1000,7,3.183166663,3.103808161,2.960461662,4.025882224,0.060757243,21,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
1001,8,4.33134761,4.273974101,4.048727938,4.674988347,0.033778936,18,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
1002,9,6.156463578,6.263907758,5.048781945,6.731589403,0.177682396,16,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
1003,10,8.659692156,8.587289432,8.101235897,9.077605644,0.064952675,21,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
1004,11,11.34102301,11.37127686,10.09901582,12.55178945,0.318397015,21,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
1005,12,15.75440049,15.2195837,12.96885625,20.75043065,3.659700806,20,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
1006,13,19.7412832,19.43106748,16.24121234,23.70149316,4.115801303,21,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
1007,14,43.83165036,25.45218107,19.12790388,353.945796,5673.35128,18,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
1008,1,0.795860084,0.76885584,0.481495321,1.338944077,0.04466579,24,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
