,Unnamed: 0,Pos,WM,GM,sub,ses,run,acq,rec,site
261,61,0.15369499,0,0,TeTolj,1,2,R4,LLRv1,Tommies
262,62,0.15619,0,0,TeTolj,1,2,R4,LLRv1,Tommies
263,63,0.158685,0,0,TeTolj,1,2,R4,LLRv1,Tommies
264,64,0.16117999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
265,65,0.163675,0,0,TeTolj,1,2,R4,LLRv1,Tommies
266,66,0.16616999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
267,67,0.16866499,0,0,TeTolj,1,2,R4,LLRv1,Tommies
268,68,0.17116,0,0.01904324,TeTolj,1,2,R4,LLRv1,Tommies
269,69,0.17365499,0,0.019043126,TeTolj,1,2,R4,LLRv1,Tommies
270,70,0.17615,0,0,TeTolj,1,2,R4,LLRv1,Tommies
271,71,0.178645,0,0,TeTolj,1,2,R4,LLRv1,Tommies
272,72,0.18113999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
273,73,0.183635,0,0,TeTolj,1,2,R4,LLRv1,Tommies
274,74,0.18612999,0,0.019043126,TeTolj,1,2,R4,LLRv1,Tommies
275,75,0.188625,0,0,TeTolj,1,2,R4,LLRv1,Tommies
276,76,0.19112,0,0.01904324,TeTolj,1,2,R4,LLRv1,Tommies
277,77,0.19361499,0,0,TeTolj,1,2,R4,LLRv1,Tommies
278,78,0.19611,0.017252838,0.019043126,TeTolj,1,2,R4,LLRv1,Tommies
279,79,0.198605,0,0.01904324,TeTolj,1,2,R4,LLRv1,Tommies
280,80,0.20109999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
281,81,0.203595,0,0,TeTolj,1,2,R4,LLRv1,Tommies
282,82,0.20608999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
283,83,0.208585,0,0,TeTolj,1,2,R4,LLRv1,Tommies
284,84,0.21108,0.017252941,0.01904324,TeTolj,1,2,R4,LLRv1,Tommies
285,85,0.21357499,0.017252838,0,TeTolj,1,2,R4,LLRv1,Tommies
286,86,0.21607,0.017252941,0,TeTolj,1,2,R4,LLRv1,Tommies
287,87,0.21856499,0,0.019043126,TeTolj,1,2,R4,LLRv1,Tommies
288,88,0.22106,0,0.038086253,TeTolj,1,2,R4,LLRv1,Tommies
289,89,0.223555,0.034505882,0,TeTolj,1,2,R4,LLRv1,Tommies
290,90,0.22604999,0.051758514,0.038086253,TeTolj,1,2,R4,LLRv1,Tommies
291,91,0.228545,0.103517029,0.076172506,TeTolj,1,2,R4,LLRv1,Tommies
292,92,0.23104,0.276047059,0,TeTolj,1,2,R4,LLRv1,Tommies
293,93,0.23353499,0.810883393,0.038086253,TeTolj,1,2,R4,LLRv1,Tommies
294,94,0.23603,1.052429413,0.01904324,TeTolj,1,2,R4,LLRv1,Tommies
295,95,0.23852499,2.605178562,0.095215632,TeTolj,1,2,R4,LLRv1,Tommies
296,96,0.24102,4.175186834,0.076172506,TeTolj,1,2,R4,LLRv1,Tommies
297,97,0.243515,5.262147066,0.171389162,TeTolj,1,2,R4,LLRv1,Tommies
298,98,0.24600999,6.573331338,0.133301885,TeTolj,1,2,R4,LLRv1,Tommies
