;Unnamed: 0;SegId;Mean;Min;Max;Variance;Count;Volume;x;y;z;StructName;sub;ses;run;acq;rec;side;StructNameNoSide
1008;20;258;0.005561302;0;2.414700747;0.001692238;49950;1076508.625;88.53278278;112.7972472;-113.0755629;;QlA4b9;1;1;R4;CGv1;;None
1009;7;259;0;0;0;0;625;13469.82715;96.372;46.564;-139.084142;;QlA4b9;1;1;R4;CGv1;;None
1010;22;0;0.000260015;0;0.480812639;7.65E-05;221624;4776379;0;0;0;Unknown;QlA4b9;1;2;R4;CGv1;;None
1011;14;2;0.287306799;0;0.436084211;0.001099943;11067;238512.9219;117.0470769;116.8618415;-83.57528165;Left-Cerebral-White-Matter;QlA4b9;1;2;R4;CGv1;Left;Cerebral-White-Matter
1012;37;3;0.331791859;0;0.637940049;0.004326279;11345;244504.2969;119.4343323;123.2571617;-92.42656376;Left-Cerebral-Cortex;QlA4b9;1;2;R4;CGv1;Left;Cerebral-Cortex
1013;29;4;0.381730793;0.240532324;4.637438297;0.082247373;594;12801.72363;103.9814815;112.0328283;-92.37780589;Left-Lateral-Ventricle;QlA4b9;1;2;R4;CGv1;Left;Lateral-Ventricle
1014;8;5;0.398148946;0.285497457;0.518241525;0.003369077;34;732.758606;120.2941176;113.2352941;-122.2109577;Left-Inf-Lat-Vent;QlA4b9;1;2;R4;CGv1;Left;Inf-Lat-Vent
1015;4;7;0.307151867;0.253764868;0.387630641;0.000505512;945;20366.37891;104.6904762;153.4920635;-135.2964829;Left-Cerebellum-White-Matter;QlA4b9;1;2;R4;CGv1;Left;Cerebellum-White-Matter
1016;34;8;0.331174367;0;0.511580765;0.00121492;2665;57435.34375;108.9296435;163.0075047;-140.3273639;Left-Cerebellum-Cortex;QlA4b9;1;2;R4;CGv1;Left;Cerebellum-Cortex
1017;1;10;0.29156871;0.243257925;0.368112952;0.000454608;296;6379.310059;101.5962838;116.5118243;-97.87978113;Left-Thalamus;QlA4b9;1;2;R4;CGv1;Left;Thalamus
1018;35;11;0.314725578;0.231339529;0.41666472;0.000908571;151;3254.310303;106.4238411;90.34768212;-96.96278171;Left-Caudate;QlA4b9;1;2;R4;CGv1;Left;Caudate
1019;10;12;0.302307563;0.231503144;0.389625728;0.000669333;333;7176.724121;115.8483483;101.036036;-104.0592363;Left-Putamen;QlA4b9;1;2;R4;CGv1;Left;Putamen
1020;6;13;0.278451916;0.244751021;0.312685847;0.00029649;48;1034.482666;109.1145833;105.78125;-104.6695449;Left-Pallidum;QlA4b9;1;2;R4;CGv1;Left;Pallidum
1021;9;14;0.387718482;0.300073266;0.541434765;0.003152399;76;1637.93103;91.34868421;108.5197368;-105.626139;3rd-Ventricle;QlA4b9;1;2;R4;CGv1;;None
1022;39;15;0.444586216;0.304666698;0.738959253;0.009459362;102;2198.275879;88.40686275;142.4264706;-131.575393;4th-Ventricle;QlA4b9;1;2;R4;CGv1;;None
1023;33;16;0.295966844;0.233510852;0.471327215;0.000778976;917;19762.92969;88.81952017;127.4727372;-130.9592792;Brain-Stem;QlA4b9;1;2;R4;CGv1;;None
1024;31;17;0.344177582;0.279973269;0.453659266;0.001043086;205;4418.103516;112.7317073;123.2804878;-115.6265815;Left-Hippocampus;QlA4b9;1;2;R4;CGv1;Left;Hippocampus
1025;26;18;0.371812281;0.292424172;0.435046256;0.000828988;80;1724.137939;112.90625;106.34375;-120.732763;Left-Amygdala;QlA4b9;1;2;R4;CGv1;Left;Amygdala
1026;18;24;0.333205008;0;1.028198838;0.020250924;19041;410366.375;87.28113019;114.2736726;-93.9890195;CSF;QlA4b9;1;2;R4;CGv1;;None
1027;21;26;0.354052819;0.3043378;0.409986466;0.000669711;40;862.0689697;103.25;89.0625;-110.6896598;Left-Accumbens-area;QlA4b9;1;2;R4;CGv1;Left;Accumbens-area
1028;24;28;0.290636473;0.256522119;0.360283524;0.000403563;171;3685.344727;100.4093567;115.2631579;-111.7362417;Left-VentralDC;QlA4b9;1;2;R4;CGv1;Left;VentralDC
1029;16;31;0.318214821;0.271043956;0.38866365;0.00073833;34;732.758606;109.3382353;127.5;-100.2028445;Left-choroid-plexus;QlA4b9;1;2;R4;CGv1;Left;choroid-plexus
1030;11;41;0.288905207;0.203088298;0.43633309;0.001032468;11297;243469.8125;66.89076746;111.0396565;-82.00010885;Right-Cerebral-White-Matter;QlA4b9;1;2;R4;CGv1;Right;Cerebral-White-Matter
1031;17;42;0.330555562;0;0.527668417;0.003961133;10595;228340.5156;61.71425201;114.1347334;-90.39755745;Right-Cerebral-Cortex;QlA4b9;1;2;R4;CGv1;Right;Cerebral-Cortex
1032;5;43;0.338537968;0.23865217;0.613571227;0.003607654;417;8987.068359;80.37170264;105.9472422;-91.1022955;Right-Lateral-Ventricle;QlA4b9;1;2;R4;CGv1;Right;Lateral-Ventricle
1033;2;44;0.333898458;0.266442567;0.372812152;0.000885094;10;215.5172424;59.25;105;-123.7931078;Right-Inf-Lat-Vent;QlA4b9;1;2;R4;CGv1;Right;Inf-Lat-Vent
1034;32;46;0.314954364;0.235989153;0.440466493;0.000757288;1179;25409.48242;69.20695505;150.9011874;-133.789598;Right-Cerebellum-White-Matter;QlA4b9;1;2;R4;CGv1;Right;Cerebellum-White-Matter
1035;28;47;0.341243456;0;0.558008969;0.00142781;2305;49676.72266;65.13123644;159.2581345;-137.636327;Right-Cerebellum-Cortex;QlA4b9;1;2;R4;CGv1;Right;Cerebellum-Cortex
1036;7;49;0.294043908;0.256394446;0.360381603;0.000321646;266;5732.758301;80.19736842;113.4774436;-97.21286455;Right-Thalamus;QlA4b9;1;2;R4;CGv1;Right;Thalamus
1037;36;50;0.312661039;0.232980758;0.404493034;0.001028399;178;3836.206787;80.40730337;88.01966292;-93.45215521;Right-Caudate;QlA4b9;1;2;R4;CGv1;Right;Caudate
1038;12;51;0.304533413;0.257490337;0.377442062;0.000456431;312;6724.137695;69.27083333;94.97596154;-102.542003;Right-Putamen;QlA4b9;1;2;R4;CGv1;Right;Putamen
1039;0;52;0.285135893;0.257315099;0.313046664;0.000215185;58;1250;73.6637931;100.0862069;-103.0915624;Right-Pallidum;QlA4b9;1;2;R4;CGv1;Right;Pallidum
1040;19;53;0.334627887;0.276427686;0.402817339;0.000666901;210;4525.861816;66.23809524;116.3690476;-114.1379356;Right-Hippocampus;QlA4b9;1;2;R4;CGv1;Right;Hippocampus
1041;13;54;0.370746348;0.3140001;0.431184143;0.000611134;88;1896.551636;70.45454545;101.2215909;-120.6896596;Right-Amygdala;QlA4b9;1;2;R4;CGv1;Right;Amygdala
1042;23;58;0.342286765;0.290766746;0.390220076;0.000849851;28;603.4482422;84.91071429;86.78571429;-108.3743889;Head-ExtraCerebral;QlA4b9;1;2;R4;CGv1;;None
1043;15;60;0.292645883;0.261200726;0.373984903;0.000296516;144;3103.448242;80.83333333;112.2916667;-110.799813;Right-VentralDC;QlA4b9;1;2;R4;CGv1;Right;VentralDC
1044;38;62;0.310904399;0.307676494;0.314132303;2.08E-05;2;43.10344696;63.75;97.5;-110.3448322;;QlA4b9;1;2;R4;CGv1;;None
1045;30;63;0.333097884;0.265938163;0.416339427;0.000993822;50;1077.586182;75.6;117.5;-97.10345309;Right-choroid-plexus;QlA4b9;1;2;R4;CGv1;Right;choroid-plexus
1046;25;77;0.275953765;0.25073871;0.291513622;0.000195875;12;258.6206665;97.70833333;105;-91.66667157;WM-hypointensities;QlA4b9;1;2;R4;CGv1;;None
1047;27;165;0.024118035;0;0.643927574;0.006914671;19439;418943.9375;94.26938114;114.9297803;-99.31776449;;QlA4b9;1;2;R4;CGv1;;None
1048;20;258;0.005491735;0;0.701865196;0.001597144;50473;1087780.125;89.13562697;113.0341965;-113.8323232;;QlA4b9;1;2;R4;CGv1;;None
1049;3;259;0;0;0;0;657;14159.48242;96.73135464;46.41933029;-138.8232865;;QlA4b9;1;2;R4;CGv1;;None
1050;24;0;5.58E-05;0;0.40266341;1.74E-05;222389;4792866;0;0;0;Unknown;QlA4b9;1;1;R4;LLRv1;;None
1051;13;2;0.286034544;0;0.422694355;0.001051529;10911;235150.8594;117.2406287;115.9256713;-83.46907612;Left-Cerebral-White-Matter;QlA4b9;1;1;R4;LLRv1;Left;Cerebral-White-Matter
1052;16;3;0.33158725;0;0.652729869;0.004205972;11183;241012.9219;119.3492354;122.5458285;-91.8913301;Left-Cerebral-Cortex;QlA4b9;1;1;R4;LLRv1;Left;Cerebral-Cortex
1053;26;4;0.370287633;0.245697111;1.989453197;0.021482971;585;12607.75781;103.7179487;110.8931624;-91.68877591;Left-Lateral-Ventricle;QlA4b9;1;1;R4;LLRv1;Left;Lateral-Ventricle
1054;28;5;0.395709429;0.297495663;0.55529356;0.00425718;35;754.3103027;120.3571429;113.2142857;-121.7734034;Left-Inf-Lat-Vent;QlA4b9;1;1;R4;LLRv1;Left;Inf-Lat-Vent
1055;2;7;0.30737159;0.255464256;0.415040553;0.000558804;952;20517.24023;104.7321429;153.5898109;-134.3016559;Left-Cerebellum-White-Matter;QlA4b9;1;1;R4;LLRv1;Left;Cerebellum-White-Matter
1056;3;8;0.329350624;0;0.529602289;0.001636867;2676;57672.41016;108.2744768;162.8437967;-139.5520891;Left-Cerebellum-Cortex;QlA4b9;1;1;R4;LLRv1;Left;Cerebellum-Cortex
1057;31;10;0.298338355;0.254804522;0.397163898;0.000507142;303;6530.172363;100.9158416;115.8580858;-97.80357827;Left-Thalamus;QlA4b9;1;1;R4;LLRv1;Left;Thalamus
1058;19;11;0.313767534;0.248492226;0.399214089;0.001036935;162;3491.37915;106.2654321;91.2808642;-95.59387457;Left-Caudate;QlA4b9;1;1;R4;LLRv1;Left;Caudate
