,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
177,10,0.100692551,0.099714227,0.095065743,0.112388559,1.61E-05,24,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
178,11,0.072019158,0.072276548,0.067480527,0.075590044,5.17E-06,26,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
179,12,0.053355438,0.052465644,0.048857242,0.061026651,1.08E-05,25,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
180,13,0.038311921,0.037765935,0.032330513,0.050491448,1.30E-05,24,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
181,14,0.021713963,0.030837496,0.001000001,0.051524259,0.000289189,26,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
182,1,0.772080273,0.755615474,0.378662429,1.424441149,0.067299509,25,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
183,2,0.846118464,0.780041758,0.443474806,1.47162236,0.068578214,24,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
184,3,0.808457329,0.804779515,0.494835164,1.196542716,0.030364713,24,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
185,4,1.527883734,1.529419992,1.243872817,1.997153524,0.032348254,24,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
186,5,2.054148988,2.025649064,1.845267253,2.371825893,0.015385627,24,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
187,6,2.844605554,2.805455527,2.691705932,3.445241702,0.026067529,23,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
188,7,3.865572392,3.788117082,3.555710034,4.499229433,0.053468407,24,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
189,8,5.198829697,5.179103636,4.915272121,5.499129556,0.026106747,24,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
190,9,7.079865981,7.084266027,6.890789761,7.204413973,0.005946644,22,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
191,10,9.94645615,10.02902338,8.89770286,10.51903631,0.146768469,24,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
192,11,13.89919392,13.83574666,13.22925538,14.81908999,0.196858941,26,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
193,12,18.80962574,19.06009207,16.38628332,20.46779478,1.202002228,25,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
194,13,26.31271112,26.48217768,19.80533397,30.93053302,5.144370971,24,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
195,14,402.7706893,32.43337743,19.4083334,999.9993704,222935.6332,26,6,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
196,1,1.266951151,1.183070481,0.72991848,2.669701576,0.18105153,24,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
197,2,1.142609783,1.148790479,0.659321308,1.715073586,0.074524185,23,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
198,3,1.009138627,0.990577996,0.766101897,1.402816415,0.031537687,22,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
199,4,0.700767704,0.689243495,0.571387708,0.873643577,0.008425056,21,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
200,5,0.494962564,0.494862631,0.424529552,0.56202209,0.001225233,24,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
201,6,0.415089702,0.416936636,0.349324971,0.449105442,0.000588749,24,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
202,7,0.325350663,0.33399871,0.262619257,0.370339721,0.000554586,22,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
203,8,0.236786427,0.241058692,0.205020413,0.254922241,0.000168639,22,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
204,9,0.165522863,0.165421098,0.158893049,0.17276071,1.28E-05,22,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
205,10,0.11772937,0.117605902,0.111962974,0.127320498,1.11E-05,22,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
206,11,0.092124989,0.091188986,0.083021484,0.106458589,3.22E-05,22,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
207,12,0.051437396,0.063297845,0,0.080245808,0.000765161,23,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
208,13,0.047368539,0.052165639,0,0.067165419,0.000245047,23,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
209,14,0.043428691,0.044328522,0.002122857,0.07359381,0.000177298,22,6,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
210,1,0.863270105,0.845610928,0.374573701,1.370016005,0.057600155,24,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
211,2,0.927628794,0.870480752,0.583065361,1.516711181,0.05185843,23,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
212,3,1.020447381,1.009539405,0.712851653,1.305309391,0.029084171,22,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
213,4,1.450887306,1.450866068,1.144631548,1.750125153,0.03381553,21,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
214,5,2.030581095,2.020775089,1.779289494,2.355548617,0.021082648,24,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
215,6,2.417837754,2.398501315,2.226648594,2.862663943,0.022390333,24,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
216,7,3.090991129,2.994057376,2.700223449,3.807793882,0.058348423,22,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
217,8,4.236683056,4.148385808,3.922764825,4.877563099,0.060507794,22,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
218,9,6.044295514,6.045199646,5.788353146,6.293541522,0.017179073,22,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
219,10,8.50069842,8.502976737,7.854194838,8.931524089,0.055424771,22,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
220,11,10.89416609,10.9662482,9.393323783,12.04507494,0.411019249,22,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
221,12,9.79043E+14,15.79832605,12.46171019,4.5036E+15,3.45E+30,23,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
222,13,3.91617E+14,19.16970684,14.88861393,4.5036E+15,1.61E+30,23,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
223,14,43.3748415,22.56583815,13.58809929,471.0633089,8730.383074,22,6,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
224,1,1.402019034,1.302059114,0.80480957,3.074975967,0.254525893,24,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
225,2,1.395622112,1.302515447,0.717872798,2.66271925,0.229748012,24,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
226,3,1.237370179,1.199301779,0.930096149,2.167010307,0.072372009,22,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
227,4,0.659094917,0.648819983,0.539793909,0.846011162,0.006254342,24,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
228,5,0.497923123,0.503847957,0.444286197,0.547500849,0.000672364,24,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
229,6,0.359506506,0.359373331,0.29280895,0.383620113,0.000351953,23,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
230,7,0.258789444,0.261264458,0.216867656,0.276915282,0.000203061,24,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
231,8,0.1925961,0.192073628,0.181852624,0.202249169,2.71E-05,21,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
232,9,0.141732773,0.141727522,0.138962209,0.144932345,2.31E-06,23,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
233,10,0.101011749,0.099622678,0.09552367,0.111688897,1.58E-05,24,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
234,11,0.074095808,0.073960595,0.069273531,0.078784093,5.63E-06,24,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
235,12,0.053561676,0.053388733,0.049883612,0.057288967,4.04E-06,24,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
236,13,0.037450275,0.038485859,0.002826139,0.044567306,6.07E-05,23,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
237,14,0.018334312,0.029087143,0.001000001,0.039743256,0.000259788,24,5,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
238,1,0.781529504,0.768017356,0.325205794,1.242529956,0.045337427,24,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
239,2,0.797725474,0.768498979,0.375555928,1.393004446,0.06475179,24,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
240,3,0.839219767,0.833986894,0.461465272,1.07515766,0.022258077,22,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
241,4,1.538276352,1.541302647,1.182017502,1.852558882,0.031312405,24,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
242,5,2.014008813,1.984736715,1.826481187,2.250801411,0.011884839,24,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
243,6,2.790022333,2.782621618,2.606745491,3.415196155,0.02638843,23,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
244,7,3.877127841,3.8275473,3.611212761,4.611107164,0.055919993,24,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
245,8,5.196026556,5.206336803,4.944396079,5.498958327,0.019895217,21,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
246,9,7.056341957,7.055792593,6.899771083,7.196201079,0.005725115,23,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
247,10,9.914505658,10.03788813,8.95344145,10.46860947,0.139236627,24,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
248,11,13.50988062,13.52071517,12.69291755,14.43552796,0.187227263,24,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
249,12,18.69633205,18.73056482,17.45536795,20.04666402,0.490681701,24,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
250,13,40.00390063,25.98356998,22.43797301,353.8396838,4479.857344,23,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
251,14,471.0992421,34.38310322,25.16150173,999.9993704,229643.4266,24,5,P0007,R4,R1,T1mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
252,1,1.219830755,1.103340626,0.821574569,2.123872042,0.113833173,15,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
253,2,1.209122412,1.157997847,0.830129087,2.067818403,0.092424417,16,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
254,3,0.95469681,0.978707731,0.72654742,1.121075392,0.010017916,15,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
